"Playlist URL","https://www.youtube.com/playlist?list=PLDKhPq_cLoCQ"
"Playlist title","ALL"
"Playlist author","Tony Noga"
"Videos","1386"

"Video ID","Title","Channel","Added At","Published At","Duration","Thumbnail URL"
"sM7VY9NfZ00","Turbulence","Emilia - Topic","2026-09-23","2024-08-28","3:59","https://i.ytimg.com/vi/sM7VY9NfZ00/hqdefault.jpg"
"yfz_n33gSo4","Турбофолка (Турбо Фолка)","Alekssa - Topic","2026-09-23","2026-07-24","3:11","https://i.ytimg.com/vi/yfz_n33gSo4/hqdefault.jpg"
"P95FlIq8yvE","Луд скандал","Emilia - Topic","2026-09-23","2026-08-01","3:16","https://i.ytimg.com/vi/P95FlIq8yvE/hqdefault.jpg"
"nPZRWTgWzyE","Chuy me","Djena - Topic","2026-09-23","2026-03-30","3:22","https://i.ytimg.com/vi/nPZRWTgWzyE/hqdefault.jpg"
"qnlaYqXiQfM","Dai Dai (Clean Bandit Remix)","Shakira - Topic","2026-09-23","2026-06-12","3:02","https://i.ytimg.com/vi/qnlaYqXiQfM/hqdefault.jpg"
"-eGM0IJc70Y","Bring Me To Life","Evanescence - Topic","2026-09-23","2018-10-11","3:56","https://i.ytimg.com/vi/-eGM0IJc70Y/hqdefault.jpg"
"PoSc3Mg0EB0","BMW","KSIOR - Topic","2026-09-23","2026-07-15","2:47","https://i.ytimg.com/vi/PoSc3Mg0EB0/hqdefault.jpg"
"nQY-L71Qbho","BATUT","KSIOR - Topic","2026-09-23","2026-07-03","2:42","https://i.ytimg.com/vi/nQY-L71Qbho/hqdefault.jpg"
"jxlHO2DP4YQ","@rihanna in TECH HOUSE mix... LIT or NAH? 😏🔥","dj_Gabi","2026-09-23","2026-05-07","1:15","https://i.ytimg.com/vi/jxlHO2DP4YQ/hqdefault.jpg"
"RSdy9K0gukQ","🔥 13-Year-Old Girl Produces THIS?! 😳","dj_Gabi","2026-09-23","2026-07-18","1:18","https://i.ytimg.com/vi/RSdy9K0gukQ/hqdefault.jpg"
"dPj_UNS_4pg","Voices","DJ_GABI - Topic","2026-09-23","2026-02-27","3:38","https://i.ytimg.com/vi/dPj_UNS_4pg/hqdefault.jpg"
"wQTOaFquPVw","Прахосмукачка","SIMONA - Topic","2026-09-23","2026-05-29","3:19","https://i.ytimg.com/vi/wQTOaFquPVw/hqdefault.jpg"
"IKKfj1erCsw","Accuracy","Bablon - Topic","2026-09-23","2026-09-11","2:06","https://i.ytimg.com/vi/IKKfj1erCsw/hqdefault.jpg"
"qCKYbsbXo0g","Jabbin","T—mic - Topic","2026-09-23","2026-03-05","1:42","https://i.ytimg.com/vi/qCKYbsbXo0g/hqdefault.jpg"
"u3ZEoyaF5ys","Phenomenon","T—mic - Topic","2026-09-23","2026-09-04","2:39","https://i.ytimg.com/vi/u3ZEoyaF5ys/hqdefault.jpg"
"CPa87s90cjc","Nunca Caeré","T—mic - Topic","2026-09-23","2026-09-04","2:57","https://i.ytimg.com/vi/CPa87s90cjc/hqdefault.jpg"
"rpUofdB1eaE","Terror","T—mic - Topic","2026-09-23","2026-09-04","3:13","https://i.ytimg.com/vi/rpUofdB1eaE/hqdefault.jpg"
"FXdZtPJrkHM","Beast","T—mic - Topic","2026-09-23","2026-09-04","4:18","https://i.ytimg.com/vi/FXdZtPJrkHM/hqdefault.jpg"
"Hhc9hDLhsdQ","Protect Your Own","T—mic - Topic","2026-09-23","2026-09-04","3:54","https://i.ytimg.com/vi/Hhc9hDLhsdQ/hqdefault.jpg"
"nf-97BXAuWE","Neka da e tayno","Desi Slava - Topic","2026-09-23","2026-03-26","3:36","https://i.ytimg.com/vi/nf-97BXAuWE/hqdefault.jpg"
"FmYn846Lfvc","Avtogol","Tedi Aleksandrova - Topic","2026-09-23","2026-03-26","3:52","https://i.ytimg.com/vi/FmYn846Lfvc/hqdefault.jpg"
"iTqEoCRV5zk","Аз и ти","SIMONA - Topic","2026-09-23","2024-07-09","3:24","https://i.ytimg.com/vi/iTqEoCRV5zk/hqdefault.jpg"
"6RZr4IJA1UE","Party Party","NastelBom - Topic","2026-09-23","2025-12-27","1:25","https://i.ytimg.com/vi/6RZr4IJA1UE/hqdefault.jpg"
"TlrNxJqODBc","Can't Help Falling In Love","Elvis Presley - Topic","2026-09-23","2017-02-19","2:58","https://i.ytimg.com/vi/TlrNxJqODBc/hqdefault.jpg"
"djj4nYbGvhY","Cabin Fever","Diggy Graves - Topic","2026-09-23","2024-02-08","2:59","https://i.ytimg.com/vi/djj4nYbGvhY/hqdefault.jpg"
"ifrXtDdx4rg","Любов за психолог","Dessita - Topic","2026-09-23","2025-12-05","3:04","https://i.ytimg.com/vi/ifrXtDdx4rg/hqdefault.jpg"
"pj54qe7HgC4","Tú Me Enamoraste","Marta Santos - Topic","2026-09-23","2026-06-23","3:04","https://i.ytimg.com/vi/pj54qe7HgC4/hqdefault.jpg"
"oKNwLuNFY0A","Lockdown","Denis Teofikov - Topic","2026-09-23","2026-03-26","2:38","https://i.ytimg.com/vi/oKNwLuNFY0A/hqdefault.jpg"
"P2sXvcvvjlM","Hoy","India Martinez - Topic","2026-09-23","2017-02-19","3:39","https://i.ytimg.com/vi/P2sXvcvvjlM/hqdefault.jpg"
"yqT3LQipGKQ","Sarà perchè ti amo","Ricchi E Poveri - Topic","2026-09-23","2021-02-25","3:36","https://i.ytimg.com/vi/yqT3LQipGKQ/hqdefault.jpg"
"9Ws0Sq-96dY","The Duck Dance","Bim Bam Bom - Topic","2026-09-23","2025-03-31","2:50","https://i.ytimg.com/vi/9Ws0Sq-96dY/hqdefault.jpg"
"wRW_jN0RS5Q","I Can Love You Like That","All-4-One - Topic","2026-09-23","2017-04-08","4:18","https://i.ytimg.com/vi/wRW_jN0RS5Q/hqdefault.jpg"
"GpQbMAIZVn8","Saving All My Love for You","Whitney Houston - Topic","2026-09-23","2017-02-19","3:58","https://i.ytimg.com/vi/GpQbMAIZVn8/hqdefault.jpg"
"8hptcTtHC9M","Po-poleka","Djena - Topic","2026-09-23","2026-04-07","3:23","https://i.ytimg.com/vi/8hptcTtHC9M/hqdefault.jpg"
"TpxUkr_K84w","Fear","T—mic - Topic","2026-09-23","2026-03-05","2:18","https://i.ytimg.com/vi/TpxUkr_K84w/hqdefault.jpg"
"N1rxjOWcG_0","Kingdom","T—mic - Topic","2026-09-23","2026-07-21","2:50","https://i.ytimg.com/vi/N1rxjOWcG_0/hqdefault.jpg"
"_QCAkXixCmk","Golden Era","T—mic - Topic","2026-09-23","2026-07-21","3:31","https://i.ytimg.com/vi/_QCAkXixCmk/hqdefault.jpg"
"lKUQxcSPHFA","I Hold the Block","T—mic - Topic","2026-09-23","2026-05-16","3:00","https://i.ytimg.com/vi/lKUQxcSPHFA/hqdefault.jpg"
"LCF4InCKkpU","Witness","T—mic - Topic","2026-09-23","2026-01-22","2:32","https://i.ytimg.com/vi/LCF4InCKkpU/hqdefault.jpg"
"skWtjEHbV6M","Illegal","T—mic - Topic","2026-09-23","2026-01-22","1:36","https://i.ytimg.com/vi/skWtjEHbV6M/hqdefault.jpg"
"2Cd99FK9PbI","Open Case","T—mic - Topic","2026-09-23","2026-05-16","2:48","https://i.ytimg.com/vi/2Cd99FK9PbI/hqdefault.jpg"
"XN470HWGfk4","Hostile","T—mic - Topic","2026-09-23","2026-01-22","2:29","https://i.ytimg.com/vi/XN470HWGfk4/hqdefault.jpg"
"NjaDMq1yiXs","Midnight","T—mic - Topic","2026-09-23","2026-05-16","3:12","https://i.ytimg.com/vi/NjaDMq1yiXs/hqdefault.jpg"
"Ww45xT-t29w","Code","T—mic - Topic","2026-09-23","2026-01-05","2:05","https://i.ytimg.com/vi/Ww45xT-t29w/hqdefault.jpg"
"BPH-JZMeIJY","Full Clip","T—mic - Topic","2026-09-23","2026-05-16","1:49","https://i.ytimg.com/vi/BPH-JZMeIJY/hqdefault.jpg"
"1Fos5AR56ro","Hawk","T—mic - Topic","2026-09-23","2026-07-21","2:28","https://i.ytimg.com/vi/1Fos5AR56ro/hqdefault.jpg"
"GK9p65Y5YCY","Mayhem","T—mic - Topic","2026-09-23","2026-07-21","1:49","https://i.ytimg.com/vi/GK9p65Y5YCY/hqdefault.jpg"
"5TlAPyvcUR4","Glock","T—mic - Topic","2026-09-23","2026-07-21","2:15","https://i.ytimg.com/vi/5TlAPyvcUR4/hqdefault.jpg"
"4JmmKG8JFcg","Lungless, Pt. 2","T—mic - Topic","2026-09-23","2026-01-05","2:15","https://i.ytimg.com/vi/4JmmKG8JFcg/hqdefault.jpg"
"-CmML4obPdA","Skeptic","T—mic - Topic","2026-09-23","2026-07-21","2:03","https://i.ytimg.com/vi/-CmML4obPdA/hqdefault.jpg"
"YQLG9O988y0","You're Still The One","Shania Twain - Topic","2026-09-23","2018-08-07","3:33","https://i.ytimg.com/vi/YQLG9O988y0/hqdefault.jpg"
"I43YvBR_S2c","Fancy","Reba McEntire - Topic","2026-09-23","2018-07-28","5:00","https://i.ytimg.com/vi/I43YvBR_S2c/hqdefault.jpg"
"C3InjkcC5YY","I Keep On Lovin' You","Reba McEntire - Topic","2026-09-23","2022-02-17","3:16","https://i.ytimg.com/vi/C3InjkcC5YY/hqdefault.jpg"
"TcLAQrjzyuc","Going Out Like That","Reba McEntire - Topic","2026-09-23","2018-08-15","3:43","https://i.ytimg.com/vi/TcLAQrjzyuc/hqdefault.jpg"
